Time,SpaceGap,Latitude,Rel_vel,Rel_accel,Score,Track,ID
1628251883.718322,45.56,2.64,-1.7671500000000002,-2.42845,9.0,392.0,37
1628251883.718455,42.44,1.24,-1.69575,-0.2857,82.0,394.0,8
1628251883.76119,81.04,-1.44,-0.0357,-0.14285,45.0,386.0,1
1628251883.761301,42.44,1.2,-1.7314500000000002,-0.5714,100.0,387.0,8
1628251883.761406,102.24000000000001,2.44,-2.15985,-0.42855,50.0,388.0,30
1628251883.764954,42.36,1.04,-1.7314500000000002,-0.71425,79.0,394.0,8
1628251883.810223,81.08,-1.4000000000000001,-0.05355,-0.2857,46.0,386.0,1
1628251883.811075,42.28,1.16,-1.7493,-0.42855,100.0,387.0,8
1628251883.811209,102.08,2.44,-2.1420000000000003,-1.9999,49.0,388.0,30
1628251883.814816,42.28,1.08,-1.7493,-0.42855,76.0,394.0,8
1628251883.86041,81.04,-1.36,-0.0714,-0.42855,48.0,386.0,1
1628251883.86167,42.160000000000004,1.24,-1.7671500000000002,-0.42855,100.0,387.0,8
1628251883.86167,101.96000000000001,2.44,-2.1420000000000003,0.2857,49.0,388.0,30
1628251883.865065,42.160000000000004,1.0,-1.7850000000000001,-0.71425,75.0,394.0,8
1628251883.910185,80.96000000000001,-1.24,-0.08925000000000001,-0.42855,49.0,386.0,1
1628251883.911192,42.04,1.32,-1.7850000000000001,-0.2857,100.0,387.0,8
1628251883.911564,101.8,2.44,-2.15985,-0.14285,48.0,388.0,30
1628251883.914308,42.0,1.08,-1.8207000000000002,-0.5714,73.0,394.0,8
1628251883.961337,81.0,-1.16,-0.1071,-0.42855,49.0,386.0,1
1628251883.962441,41.92,1.32,-1.80285,-0.2857,100.0,387.0,8
1628251883.962441,101.64,2.44,-2.1777,-0.2857,47.0,388.0,30
1628251883.965394,41.88,1.12,-1.8385500000000001,-0.5714,71.0,394.0,8
1628251884.009862,44.6,2.92,-1.9278000000000002,-0.5714,4.0,384.0,8
1628251884.01084,81.0,-1.12,-0.1428,-0.42855,52.0,386.0,1
1628251884.01084,41.800000000000004,1.24,-1.80285,-0.42855,100.0,387.0,37
1628251884.011678,101.4,2.56,-2.2491000000000003,-0.2857,45.0,388.0,30
1628251884.013479,44.6,2.92,-1.9278000000000002,0.42855,3.0,392.0,8
1628251884.014443,41.76,1.12,-1.8742500000000002,-0.5714,70.0,394.0,37
1628251884.059417,44.480000000000004,2.96,-1.9278000000000002,0.14285,3.0,384.0,8
1628251884.060446,81.0,-1.0,-0.16065000000000002,-0.42855,54.0,386.0,1
1628251884.061357,41.72,1.28,-1.8385500000000001,-0.14285,100.0,387.0,37
1628251884.061465,101.24000000000001,2.56,-2.2491000000000003,-1.28565,43.0,388.0,30
1628251884.063593,44.480000000000004,2.96,-1.9278000000000002,-0.14285,3.0,392.0,8
1628251884.064527,41.6,1.16,-1.8742500000000002,-0.14285,68.0,394.0,37
1628251884.109168,44.44,3.12,-1.8742500000000002,-0.14285,3.0,384.0,8
1628251884.110222,81.0,-0.92,-0.17850000000000002,-0.42855,56.0,386.0,1
1628251884.110429,41.56,1.32,-1.8385500000000001,-0.5714,100.0,387.0,37
1628251884.111185,101.08,2.56,-2.26695,-0.2857,42.0,388.0,30
1628251884.113591,44.44,3.12,-1.8742500000000002,0.99995,3.0,392.0,8
1628251884.114353,41.480000000000004,1.2,-1.8921000000000001,-0.42855,67.0,394.0,37
1628251884.159574,44.36,3.16,-1.90995,0.42855,3.0,384.0,8
1628251884.160521,80.96000000000001,-0.88,-0.19635000000000002,-0.2857,58.0,386.0,1
1628251884.16155,41.4,1.32,-1.8564,-0.14285,100.0,387.0,37
1628251884.161663,100.92,2.56,-2.2848,-0.2857,40.0,388.0,30
1628251884.16341,44.36,3.16,-1.90995,-0.71425,2.0,392.0,8
1628251884.164437,41.36,1.2,-1.9278000000000002,-0.42855,66.0,394.0,37
1628251884.20923,44.2,3.2,-1.9278000000000002,-0.42855,2.0,384.0,8
1628251884.210287,80.88,-0.76,-0.2142,-0.42855,60.0,386.0,1
1628251884.210427,41.24,1.52,-1.8742500000000002,-0.42855,100.0,387.0,37
1628251884.211328,100.76,2.56,-2.3026500000000003,-0.2857,38.0,388.0,30
1628251884.21369,44.2,3.2,-1.9278000000000002,-0.42855,2.0,392.0,8
1628251884.214925,41.24,1.2,-1.94565,-0.42855,65.0,394.0,37
